Event Time,Source Address,Destination Address,Source Port,Destination Port,Protocol,Application,Risk,Event Name,Bytes
2026-06-10 10:00:01,192.168.1.10,10.0.0.5,49122,22,TCP,SSH,75,SSH Login Failed,1024
2026-06-10 10:00:15,192.168.1.10,10.0.0.5,49123,22,TCP,SSH,78,SSH Login Failed,1040
2026-06-10 10:00:30,192.168.1.10,10.0.0.5,49124,22,TCP,SSH,80,SSH Login Failed,1100
2026-06-10 10:00:45,192.168.1.10,10.0.0.5,49125,22,TCP,SSH,82,SSH Login Failed,1095
2026-06-10 10:01:00,192.168.1.10,10.0.0.5,49126,22,TCP,SSH,85,SSH Login Failed,1120
2026-06-10 10:01:15,192.168.1.11,8.8.8.8,53001,53,UDP,DNS,15,DNS Query,512
2026-06-10 10:01:30,192.168.1.12,8.8.4.4,53002,53,UDP,DNS,15,DNS Query,520
2026-06-10 10:01:45,192.168.1.13,1.1.1.1,53003,53,UDP,DNS,15,DNS Query,530
2026-06-10 10:02:00,192.168.1.14,10.0.0.20,60001,3389,TCP,RDP,50,RDP Connection Established,2100
2026-06-10 10:02:15,192.168.1.15,10.0.0.21,60002,3389,TCP,RDP,50,RDP Connection Established,2200
2026-06-10 10:02:30,192.168.1.16,10.0.0.22,60003,3389,TCP,RDP,50,RDP Connection Established,2300
2026-06-10 10:02:45,192.168.1.17,10.0.0.23,60004,3389,TCP,RDP,50,RDP Connection Established,2400
2026-06-10 10:03:00,192.168.1.18,10.0.0.24,60005,3389,TCP,RDP,50,RDP Connection Established,2500
2026-06-10 10:03:15,192.168.1.19,10.0.0.25,60100,443,TCP,HTTPS,20,HTTPS Session,3000
2026-06-10 10:03:30,192.168.1.20,10.0.0.26,60101,443,TCP,HTTPS,20,HTTPS Session,3050
2026-06-10 10:03:45,192.168.1.21,10.0.0.27,60102,443,TCP,HTTPS,20,HTTPS Session,3100
2026-06-10 10:04:00,192.168.1.22,10.0.0.28,60103,80,TCP,HTTP,10,HTTP Request,1200
2026-06-10 10:04:15,192.168.1.23,10.0.0.29,60104,80,TCP,HTTP,10,HTTP Request,1300
2026-06-10 10:04:30,192.168.1.24,10.0.0.30,60105,80,TCP,HTTP,10,HTTP Request,1400
2026-06-10 10:04:45,192.168.1.25,10.0.0.31,60106,80,TCP,HTTP,10,HTTP Request,1500
2026-06-10 10:05:00,192.168.1.26,10.0.0.32,60107,80,TCP,HTTP,10,HTTP Request,1600
2026-06-10 10:05:15,192.168.1.27,10.0.0.33,60108,80,TCP,HTTP,10,HTTP Request,1700
2026-06-10 10:05:30,192.168.1.28,10.0.0.34,60109,443,TCP,HTTPS,20,HTTPS Session,1800
2026-06-10 10:05:45,192.168.1.29,10.0.0.35,60110,443,TCP,HTTPS,20,HTTPS Session,1900
2026-06-10 10:06:00,192.168.1.30,10.0.0.36,60111,443,TCP,HTTPS,20,HTTPS Session,2000
