Timestamp,Client IP,Server IP,Client Port,Server Port,Protocol,Threat Score,Activity,Packets,Duration
2026-06-10 10:10:01,192.168.1.50,10.0.0.10,45000,21,TCP,20,FTP Probe,100,2
2026-06-10 10:10:03,192.168.1.50,10.0.0.10,45001,22,TCP,25,SSH Probe,110,2
2026-06-10 10:10:05,192.168.1.50,10.0.0.10,45002,23,TCP,30,Telnet Probe,90,1
2026-06-10 10:10:07,192.168.1.50,10.0.0.10,45003,25,TCP,35,SMTP Probe,95,1
2026-06-10 10:10:09,192.168.1.50,10.0.0.10,45004,53,UDP,40,DNS Probe,100,1
2026-06-10 10:10:11,192.168.1.50,10.0.0.10,45005,80,TCP,45,HTTP Probe,120,2
2026-06-10 10:10:13,192.168.1.50,10.0.0.10,45006,110,TCP,50,POP3 Probe,90,1
2026-06-10 10:10:15,192.168.1.50,10.0.0.10,45007,135,TCP,55,RPC Probe,95,1
2026-06-10 10:10:17,192.168.1.50,10.0.0.10,45008,139,TCP,60,NetBIOS Probe,100,1
2026-06-10 10:10:19,192.168.1.50,10.0.0.10,45009,143,TCP,65,IMAP Probe,110,2
2026-06-10 10:10:21,192.168.1.50,10.0.0.10,45010,443,TCP,70,HTTPS Probe,130,2
2026-06-10 10:10:23,192.168.1.50,10.0.0.10,45011,445,TCP,75,SMB Probe,140,2
2026-06-10 10:10:25,192.168.1.50,10.0.0.10,45012,1433,TCP,80,MSSQL Probe,150,2
2026-06-10 10:10:27,192.168.1.50,10.0.0.10,45013,1521,TCP,80,Oracle Probe,150,2
2026-06-10 10:10:29,192.168.1.50,10.0.0.10,45014,3306,TCP,85,MySQL Probe,160,2
2026-06-10 10:10:31,192.168.1.50,10.0.0.10,45015,3389,TCP,90,RDP Probe,170,2
2026-06-10 10:10:33,192.168.1.50,10.0.0.10,45016,5432,TCP,90,PostgreSQL Probe,180,2
2026-06-10 10:10:35,192.168.1.50,10.0.0.10,45017,5900,TCP,95,VNC Probe,190,2
2026-06-10 10:10:37,192.168.1.50,10.0.0.10,45018,8080,TCP,95,Web Probe,200,2
2026-06-10 10:10:39,192.168.1.50,10.0.0.10,45019,8443,TCP,95,Web Probe,210,2
