Time,Username,Hostname,Source IP,Severity,Priority,Action,Event Name
2026-06-10 10:20:00,admin,WS01,192.168.1.100,High,8,Failure,Login Failed
2026-06-10 10:21:00,admin,WS02,192.168.1.101,High,8,Failure,Login Failed
2026-06-10 10:22:00,admin,WS03,192.168.1.102,High,8,Failure,Login Failed
2026-06-10 10:23:00,admin,WS04,192.168.1.103,High,8,Failure,Login Failed
2026-06-10 10:24:00,admin,WS05,192.168.1.104,High,8,Failure,Login Failed
2026-06-10 10:25:00,admin,WS06,192.168.1.105,High,8,Success,User Login
2026-06-10 10:26:00,john,WS10,192.168.1.110,Medium,5,Success,User Login
2026-06-10 10:27:00,john,WS11,192.168.1.111,Medium,5,Success,User Login
2026-06-10 10:28:00,john,WS12,192.168.1.112,Medium,5,Success,User Login
2026-06-10 10:29:00,john,WS13,192.168.1.113,Medium,5,Success,User Login
2026-06-10 10:30:00,backupsvc,SERVER01,192.168.1.120,Low,2,Success,Service Login
2026-06-10 10:31:00,backupsvc,SERVER02,192.168.1.121,Low,2,Success,Service Login
2026-06-10 10:32:00,backupsvc,SERVER03,192.168.1.122,Low,2,Success,Service Login
2026-06-10 10:33:00,guest,WS20,192.168.1.130,Low,1,Failure,Login Failed
2026-06-10 10:34:00,guest,WS21,192.168.1.131,Low,1,Failure,Login Failed
2026-06-10 10:35:00,guest,WS22,192.168.1.132,Low,1,Failure,Login Failed
2026-06-10 10:36:00,admin,DC01,192.168.1.140,Critical,10,Success,Admin Login
2026-06-10 10:37:00,admin,FILE01,192.168.1.141,Critical,10,Success,Admin Login
2026-06-10 10:38:00,admin,APP01,192.168.1.142,Critical,10,Success,Admin Login
2026-06-10 10:39:00,admin,DB01,192.168.1.143,Critical,10,Success,Admin Login
